,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_model__normalize,param_pca,param_scale,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
15,0.259548028,0.116233985,0.563212592,0.56630246,TRUE,,,"{'model__normalize': True, 'pca': None, 'scale': None}",1,0.570563753,0.568882667,0.581990163,0.553142381,0.537081883,0.576882331,0.052338254,0.006984665,0.019056289,0.009862028
16,0.490319252,0.123360793,0.563187368,0.56640336,TRUE,,"StandardScaler(copy=True, with_mean=True, with_std=True)","{'model__normalize': True, 'pca': None, 'scale': StandardScaler(copy=True, with_mean=True, with_std=True)}",2,0.570639425,0.569223202,0.581914491,0.553180219,0.537006206,0.576806659,0.039219437,0.00209535,0.019075877,0.009849393
0,0.63596638,0.101209641,0.56308647,0.565936716,FALSE,,,"{'model__normalize': False, 'pca': None, 'scale': None}",3,0.570639425,0.568958341,0.581990163,0.553218056,0.536627819,0.57563375,0.460284968,0.004579868,0.019273748,0.009397287
2,0.722978751,0.10303998,0.563010796,0.565861041,FALSE,,"RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)","{'model__normalize': False, 'pca': None, 'scale': RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)}",4,0.57041241,0.568731318,0.581990163,0.553218056,0.536627819,0.57563375,0.252054488,0.009208074,0.019244368,0.009373534
17,0.54106005,0.122704585,0.562607204,0.566226793,TRUE,,"RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)","{'model__normalize': True, 'pca': None, 'scale': RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)}",5,0.570563753,0.568996178,0.581990163,0.553445079,0.535265627,0.576239122,0.290639594,0.014270022,0.019887525,0.009509442
1,0.464836041,0.116182327,0.562405408,0.566592567,FALSE,,"StandardScaler(copy=True, with_mean=True, with_std=True)","{'model__normalize': False, 'pca': None, 'scale': StandardScaler(copy=True, with_mean=True, with_std=True)}",6,0.570109724,0.568693481,0.583881952,0.555980173,0.53322234,0.575104048,0.188197215,0.01173986,0.021387068,0.00794737
6,1.512290001,0.112305721,0.560589244,0.56256923,FALSE,"PCA(copy=True, iterated_power='auto', n_components=40, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)",,"{'model__normalize': False, 'pca': PCA(copy=True, iterated_power='auto', n_components=40, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'scale': None}",7,0.568142263,0.561996292,0.58093076,0.552272125,0.532692599,0.573439274,0.279969065,0.013073154,0.020404418,0.008650943
12,1.258217971,0.108834028,0.560589244,0.56256923,FALSE,"PCA(copy=True, iterated_power='auto', n_components=40, random_state=None,
  svd_solver='auto', tol=0.0, whiten=True)",,"{'model__normalize': False, 'pca': PCA(copy=True, iterated_power='auto', n_components=40, random_state=None,
  svd_solver='auto', tol=0.0, whiten=True), 'scale': None}",7,0.568142263,0.561996292,0.58093076,0.552272125,0.532692599,0.573439274,0.119707595,0.009279928,0.020404418,0.008650943
21,0.203267256,0.122245391,0.560589244,0.56256923,TRUE,"PCA(copy=True, iterated_power='auto', n_components=40, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)",,"{'model__normalize': True, 'pca': PCA(copy=True, iterated_power='auto', n_components=40, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'scale': None}",7,0.568142263,0.561996292,0.58093076,0.552272125,0.532692599,0.573439274,0.034420477,0.022906523,0.020404418,0.008650943
27,0.209026972,0.125152985,0.560589244,0.56256923,TRUE,"PCA(copy=True, iterated_power='auto', n_components=40, random_state=None,
  svd_solver='auto', tol=0.0, whiten=True)",,"{'model__normalize': True, 'pca': PCA(copy=True, iterated_power='auto', n_components=40, random_state=None,
  svd_solver='auto', tol=0.0, whiten=True), 'scale': None}",7,0.568142263,0.561996292,0.58093076,0.552272125,0.532692599,0.573439274,0.067902535,0.013226748,0.020404418,0.008650943
